rank,name,category,mechanism,pathway,targets,n_targets,n_targets_in_meta,n_targets_in_strict_sig,targets_in_meta,direction_matches,n_direction_matches,target_coverage,direction_score,direction_magnitude,pathway_score,gsea_pathway_hits,in_lincs,lincs_reversal_score,evidence,n_studies,evidence_score,composite_score,leucine_g_per_100g,notes
11,Nicotinamide Riboside (NR),NAD+ Precursor,NAD+ precursor; SIRT1/3 activation; mitochondrial biogenesis; energy metabolism,NAD+/SIRT1 / mitochondrial,SIRT1|PPARGC1A|AMPK,3,2,0,SIRT1|PPARGC1A,activate_down:PPARGC1A(fc=-0.512),1,0.667,0.5,0.512,1.0,sirt1|mitochondrial,False,,Moderate,12,0.16,0.499,0.0,PGC-1a is down-regulated in our signature; NR may restore mitochondrial biogenesis
12,L-Arginine,Amino Acid,NO precursor; vasodilation; growth hormone stimulation; mTOR activation,NO signaling / mTORC1,MTOR|IGF1|PIK3CA,3,3,0,MTOR|IGF1|PIK3CA,activate_down:PIK3CA(fc=-0.111),1,1.0,0.333,0.111,0.5,mtorc1,False,,Moderate,25,0.333,0.492,3.2,
13,Spermidine,Polyamine,Autophagy induction; anti-aging; cardioprotective; mTOR modulation,Autophagy / mTOR,MTOR|ULK1|SQSTM1|ATG7,4,4,0,MTOR|ULK1|SQSTM1|ATG7,inhibit_up:ULK1(fc=0.141),1,1.0,0.25,0.141,1.0,autophagy|mtor,False,,Weak,8,0.053,0.486,0.0,
14,Quercetin,Flavonoid,Anti-inflammatory; mitochondrial biogenesis; AMPK activation; anti-oxidant,AMPK / mitochondrial biogenesis,PPARGC1A|AMPK|SIRT1|NFKB1,4,3,0,PPARGC1A|SIRT1|NFKB1,activate_down:PPARGC1A(fc=-0.512),1,0.75,0.333,0.512,1.0,ampk|mitochondrial,False,,Moderate,18,0.24,0.485,0.0,
15,Curcumin,Polyphenol,Anti-inflammatory via NF-kB inhibition; antioxidant; anti-catabolic via TNF-a suppression,NF-kB / inflammatory,NFKB1|TNF|IL6|FOXO3,4,4,0,NFKB1|TNF|IL6|FOXO3,inhibit_up:FOXO3(fc=0.221),1,1.0,0.25,0.221,0.5,inflammatory,False,,Moderate,25,0.333,0.467,0.0,
16,Omega-3 EPA,Fatty Acid,Anti-inflammatory; muscle protein synthesis sensitization; mTOR activation,Anti-inflammatory / mTORC1,MTOR|RPS6KB1|NFKB1|TNF|IL6,5,5,0,MTOR|RPS6KB1|NFKB1|TNF|IL6,,0,1.0,0.0,0.0,0.5,mtorc1,False,,Strong,30,0.6,0.445,0.0,Sensitizes muscle to leucine-stimulated MPS; NASA nutrition research interest
17,Omega-3 DHA,Fatty Acid,Anti-inflammatory; membrane fluidity; muscle protein synthesis; neuroprotective,Anti-inflammatory / mTORC1,MTOR|NFKB1|TNF,3,3,0,MTOR|NFKB1|TNF,,0,1.0,0.0,0.0,0.5,mtorc1,False,,Strong,25,0.5,0.425,0.0,
18,Alpha-Lipoic Acid,Antioxidant,Antioxidant; AMPK activation; insulin sensitizer; mitochondrial function,AMPK / antioxidant,AMPK|PPARGC1A|NFKB1,3,2,0,PPARGC1A|NFKB1,activate_down:PPARGC1A(fc=-0.512),1,0.667,0.5,0.512,0.5,ampk,False,,Moderate,12,0.16,0.424,0.0,
19,Genistein,Isoflavone,Phytoestrogen; anti-inflammatory; mTOR modulation; antioxidant,Estrogen receptor / mTOR,MTOR|NFKB1,2,2,0,MTOR|NFKB1,,0,1.0,0.0,0.0,1.0,estrogen|mtor,True,-0.693,Weak,10,0.067,0.419,0.0,
20,L-Glutamine,Amino Acid,Conditionally essential; protein synthesis; glutathione precursor; immune support,Protein synthesis / antioxidant,MYOD1|HIF1A,2,2,0,MYOD1|HIF1A,,0,1.0,0.0,0.0,0.5,protein,False,,Moderate,30,0.4,0.405,3.2,
21,Isoleucine,Amino Acid,BCAA; contributes to MPS; glucose uptake enhancement,mTORC1 signaling,MTOR|PIK3CA,2,2,0,MTOR|PIK3CA,,0,1.0,0.0,0.0,0.5,mtorc1,False,,Moderate,25,0.333,0.392,2.8,
22,Magnesium,Mineral,Muscle relaxation; ATP metabolism; protein synthesis cofactor; neuromuscular function,Energy metabolism,CKM|MYL1,2,2,0,CKM|MYL1,,0,1.0,0.0,0.0,0.5,energy,False,,Moderate,20,0.267,0.378,0.0,
23,Valine,Amino Acid,BCAA; contributes to MPS; less potent than leucine for mTOR,mTORC1 signaling,MTOR,1,1,0,MTOR,,0,1.0,0.0,0.0,0.5,mtorc1,False,,Moderate,20,0.267,0.378,3.1,
24,Zinc,Mineral,Antioxidant (SOD cofactor); protein synthesis; testosterone; wound healing,Antioxidant / protein synthesis,SOD1|SOD2,2,2,0,SOD1|SOD2,,0,1.0,0.0,0.0,0.5,protein,False,,Moderate,15,0.2,0.365,0.0,
25,Taurine,Amino Acid Derivative,Osmoregulation; calcium signaling; antioxidant; muscle function; anti-fatigue,Calcium signaling / osmoregulation,CAV3|MYL1,2,2,1,CAV3|MYL1,,0,1.0,0.0,0.0,0.5,calcium,False,,Moderate,15,0.2,0.365,0.0,
26,Melatonin,Hormone,Antioxidant; anti-inflammatory; mitochondrial protection; sleep regulation,Antioxidant / circadian,NFKB1|TNF|HIF1A,3,3,0,NFKB1|TNF|HIF1A,,0,1.0,0.0,0.0,0.5,circadian,False,,Weak,10,0.067,0.338,0.0,Sleep disruption in spaceflight; melatonin may address circadian + antioxidant needs
27,Vitamin E (Alpha-Tocopherol),Vitamin,Antioxidant; membrane protection; anti-inflammatory in muscle,Antioxidant / anti-inflammatory,NFKB1|TNF,2,2,0,NFKB1|TNF,,0,1.0,0.0,0.0,0.0,,True,-0.051,Moderate,15,0.2,0.309,0.0,
28,N-Acetyl Cysteine (NAC),Antioxidant,Glutathione precursor; antioxidant; anti-inflammatory; redox balance,Antioxidant / anti-inflammatory,NFKB1|TNF|HIF1A,3,3,0,NFKB1|TNF|HIF1A,,0,1.0,0.0,0.0,0.0,,False,,Moderate,15,0.2,0.29,0.0,
29,Astaxanthin,Carotenoid,Potent antioxidant; anti-inflammatory; mitochondrial protection; exercise recovery,Antioxidant / anti-inflammatory,NFKB1|TNF|IL6,3,3,0,NFKB1|TNF|IL6,,0,1.0,0.0,0.0,0.0,,False,,Moderate,10,0.133,0.277,0.0,
30,Beta-Alanine,Amino Acid,Carnosine precursor; pH buffering; anti-fatigue; muscle endurance,pH buffering,CARN1,1,0,0,,,0,0.0,0.0,0.0,0.0,,False,,Moderate,20,0.267,0.053,0.0,
31,Piperine,Alkaloid,Bioavailability enhancer; inhibits glucuronidation; increases absorption of curcumin and other compounds,Bioavailability enhancer,,0,0,0,,,0,0.0,0.0,0.0,0.0,,False,,Moderate,8,0.107,0.021,0.0,Synergistic with curcumin and resveratrol
