food,category,protein_g,leucine_g,isoleucine_g,valine_g,lysine_g,threonine_g,phenylalanine_g,methionine_g,tryptophan_g,histidine_g,arginine_g,glutamic_acid_g,glycine_g,cystine_g,tyrosine_g,energy_kcal,bcaa_total_g,bcaa_ratio_leu,leucine_per_100g_protein,bcaa_per_100g_protein,lysine_per_100g_protein,grams_for_leucine_threshold,kcal_for_leucine_threshold,source_type,leucine_density_z,protein_quality_z,caloric_efficiency_z,lysine_density_z,mps_score,mps_rank,leucine_rank,protein_rank,bcaa_rank
Chicken breast (raw),animal_whole_food,23.1,1.84,1.12,1.24,2.06,1.0,0.98,0.62,0.27,0.63,1.47,3.6,1.03,0.3,0.8,113,4.2,0.4380952380952381,7.965367965367966,18.181818181818183,8.917748917748918,135.8695652173913,153.5326086956522,animal,0.026520239834810215,0.33620991562374253,0.964114952019194,1.3401116931373445,0.48850031921430015,11,27,10,19
"Cod (Atlantic, raw)",animal_whole_food,18.0,1.44,0.84,0.93,1.64,0.8,0.76,0.52,0.2,0.48,1.07,2.65,0.73,0.22,0.62,82,3.21,0.4485981308411215,8.0,17.833333333333336,9.11111111111111,173.61111111111111,142.36111111111111,animal,0.05092863716258394,0.21743676381905516,0.9930359692416696,1.42904682309438,0.48769486313228827,12,20,14,36
Turkey breast (raw),animal_whole_food,24.1,1.92,1.15,1.27,2.15,1.05,1.0,0.65,0.28,0.67,1.5,3.75,1.05,0.3,0.82,114,4.34,0.4423963133640552,7.966804979253111,18.00829875518672,8.92116182572614,130.20833333333334,148.43750000000003,animal,0.027533036404426645,0.27706975704879255,0.9773052808199852,1.3416814281988259,0.47699392421778974,13,26,11,17
"Tuna (light, canned in water)",animal_whole_food,23.3,1.86,1.08,1.2,2.1,1.0,0.98,0.63,0.26,0.65,1.4,3.5,1.0,0.28,0.8,103,4.140000000000001,0.4492753623188405,7.982832618025751,17.768240343347642,9.012875536480689,134.40860215053763,138.44086021505376,animal,0.03882919556877301,0.19525129545620923,1.003184800481466,1.3838642905411012,0.4725611057690199,14,24,16,20
Shrimp (raw),animal_whole_food,20.3,1.62,0.95,1.05,1.8,0.85,0.85,0.55,0.22,0.52,1.3,3.1,0.9,0.25,0.7,85,3.62,0.4475138121546961,7.980295566502463,17.832512315270936,8.866995073891626,154.320987654321,131.17283950617283,animal,0.03704110075195365,0.21715693844534445,1.0220004114149297,1.316767937976208,0.4710209478915347,15,25,15,27
Pork tenderloin (raw),animal_whole_food,24.3,1.94,1.1,1.25,2.15,1.05,1.0,0.65,0.28,0.68,1.55,3.8,1.05,0.3,0.85,120,4.29,0.4522144522144522,7.9835390946502045,17.65432098765432,8.847736625514404,128.8659793814433,154.63917525773198,animal,0.03932711497592507,0.15642446844756372,0.9612502483071321,1.307910195004753,0.44327354201440033,16,23,18,18
Beef protein isolate,animal_supplement,88.0,7.0,3.8,4.3,7.6,3.6,3.6,2.3,1.0,2.5,5.3,14.0,3.7,1.1,3.0,365,15.1,0.4635761589403973,7.954545454545454,17.15909090909091,8.636363636363637,35.714285714285715,130.35714285714286,animal,0.01889261566988038,-0.01236346467262356,1.0241121047359358,1.2106911681998669,0.39089227627696344,17,28,25,4
"Lean beef (top sirloin, raw)",animal_whole_food,26.9,2.15,1.15,1.3,2.3,1.1,1.1,0.7,0.3,0.75,1.6,4.2,1.1,0.32,0.9,150,4.6,0.4673913043478261,7.992565055762083,17.100371747211895,8.550185873605948,116.27906976744188,174.41860465116278,animal,0.04568854442771874,-0.03237655837819828,0.9100448289970356,1.171054513293364,0.3678484209699497,18,22,27,16
"Salmon (Atlantic, raw)",animal_whole_food,20.4,1.62,0.94,1.05,1.84,0.9,0.86,0.59,0.23,0.55,1.21,2.98,0.83,0.25,0.7,208,3.61,0.4487534626038781,7.941176470588236,17.696078431372552,9.019607843137257,154.320987654321,320.98765432098764,animal,0.009470256407321648,0.17065654546119882,0.5306036683375508,1.3869607519382419,0.36061708538647486,19,29,17,28
"Soy flour, defatted",Legume,47.0,3.9,2.0,2.1,3.0,1.9,2.5,0.7,0.6,1.2,4.0,9.3,2.1,0.6,1.7,329,8.0,0.4875,8.297872340425531,17.02127659574468,6.382978723404255,64.1025641025641,210.8974358974359,vegan,0.2608668205615751,-0.059334345705467625,0.8156076330217041,0.17426788093459944,0.2787748505427939,20,12,31,10
Soy protein isolate,Legume,80.7,6.6,3.4,3.6,5.1,3.3,4.2,1.1,1.0,2.1,7.0,16.0,3.6,1.0,2.9,338,13.6,0.4852941176470588,8.178438661710038,16.852540272614622,6.319702602230483,37.87878787878788,128.03030303030303,vegan,0.17669086279936747,-0.11684429200364263,1.0301358785582655,0.1451646215956572,0.269267141069838,21,14,34,5
"Edamame, raw",Legume,11.9,0.97,0.51,0.57,0.77,0.5,0.65,0.17,0.17,0.31,0.89,2.14,0.52,0.18,0.46,121,2.05,0.4731707317073171,8.15126050420168,17.226890756302517,6.470588235294119,257.7319587628866,311.8556701030928,vegan,0.15753590196183143,0.010744574544033799,0.5542447487605174,0.2145630554457969,0.20873391248971404,22,15,23,51
"Tofu, firm, raw",Legume,15.8,1.27,0.68,0.76,1.02,0.66,0.85,0.22,0.23,0.41,1.18,2.84,0.68,0.24,0.59,144,2.71,0.4686346863468635,8.037974683544304,17.151898734177216,6.455696202531645,196.8503937007874,283.46456692913387,vegan,0.07769290828307036,-0.014814754266831532,0.6277442574562337,0.20771360444389306,0.18407936690435098,23,17,26,44
"Tofu, regular, raw",Legume,8.1,0.65,0.35,0.39,0.52,0.34,0.44,0.11,0.12,0.21,0.6,1.45,0.35,0.12,0.3,76,1.39,0.4676258992805755,8.024691358024691,17.160493827160497,6.419753086419753,384.6153846153846,292.30769230769226,vegan,0.06833092044257098,-0.011885311887579714,0.6048509811127196,0.191181904803497,0.17400852214820195,24,18,24,56
"Soybeans, mature, raw",Legume,36.5,2.97,1.57,1.76,2.35,1.53,1.99,0.52,0.53,0.95,2.74,6.56,1.58,0.55,1.39,446,6.3,0.4714285714285715,8.136986301369864,17.26027397260274,6.438356164383562,84.17508417508417,375.4208754208754,vegan,0.14747555125018386,0.022122486193835344,0.38968575531905636,0.19973821629099206,0.17241872555599244,25,16,22,12
Tempeh,Legume,18.5,1.48,0.79,0.88,1.18,0.77,0.99,0.26,0.26,0.48,1.37,3.3,0.79,0.27,0.69,193,3.15,0.4698412698412698,8.0,17.027027027027025,6.378378378378378,168.91891891891893,326.01351351351354,vegan,0.05092863716258394,-0.05737444170789121,0.5175926141646603,0.17215199532320058,0.13536916656947293,26,20,30,37
"Mung beans, raw",Legume,23.9,1.84,0.98,1.12,1.66,0.93,1.18,0.34,0.26,0.64,1.65,4.0,0.93,0.27,0.66,347,3.94,0.4670050761421319,7.698744769874477,16.485355648535567,6.94560669456067,135.8695652173913,471.4673913043478,vegan,-0.16139378143340788,-0.24199083793154952,0.1410384348498196,0.4330433471320296,-0.03189103301648216,27,34,37,22
Rice protein powder,Other,80.0,6.2,3.2,3.8,2.5,2.8,4.0,2.2,0.9,1.5,5.5,12.0,3.5,1.5,3.0,370,13.2,0.4696969696969697,7.75,16.499999999999996,3.125,40.32258064516129,149.19354838709677,vegan,-0.12526948104728408,-0.23699964308583868,0.9753480062237387,-1.3242089212005372,-0.11291944012570612,28,33,36,7
"Pumpkin seeds, dried",Seed,30.2,2.42,1.28,1.58,1.23,1.02,1.73,0.53,0.57,0.63,3.31,5.28,1.56,0.4,1.02,574,5.28,0.4583333333333333,8.013245033112582,17.483443708609272,4.072847682119205,103.30578512396696,592.9752066115703,vegan,0.06026363680284158,0.09818482591437679,-0.17352365430359595,-0.8882552566139588,-0.11929135815308219,29,19,20,15
Hemp protein powder,Other,50.0,3.8,2.0,2.4,2.0,2.0,2.5,1.2,0.6,1.1,6.3,10.5,2.5,0.9,1.4,400,8.2,0.4634146341463415,7.6,16.4,4.0,65.78947368421053,263.15789473684214,vegan,-0.23098835197320514,-0.27108237360370485,0.6803146144526957,-0.9217608657699576,-0.16236714116516276,30,37,38,9
"Split peas, raw",Legume,24.6,1.82,0.98,1.11,1.72,0.96,1.19,0.31,0.24,0.66,1.77,4.17,1.01,0.25,0.66,342,3.91,0.4654731457800511,7.398373983739837,15.894308943089433,6.991869918699186,137.36263736263737,469.7802197802198,vegan,-0.37309285056197705,-0.4434356937834858,0.14540622138312184,0.45432168380916665,-0.16286656682266293,31,42,40,23
"Lentils, raw",Legume,25.8,1.9,1.03,1.17,1.8,1.02,1.24,0.32,0.25,0.68,1.85,4.35,1.05,0.26,0.69,353,4.1,0.4634146341463415,7.364341085271317,15.891472868217052,6.976744186046512,131.57894736842107,464.4736842105264,vegan,-0.3970789812314999,-0.4444023055395242,0.15914389669848436,0.447364744731416,-0.1709986778280717,32,45,41,21
"Chia seeds, raw",Seed,16.5,1.37,0.72,0.87,0.62,0.64,0.9,0.31,0.27,0.41,1.78,3.24,0.88,0.31,0.49,486,2.96,0.4628378378378379,8.303030303030305,17.939393939393938,3.757575757575757,182.4817518248175,886.861313868613,vegan,0.26450211378060684,0.25358511436830655,-0.9343424348750303,-1.0332616257160927,-0.1726606067281006,33,11,12,40
"Hemp seeds, hulled",Seed,31.6,2.5,1.28,1.55,1.28,1.28,1.62,0.78,0.37,0.72,3.98,6.62,1.6,0.58,0.88,553,5.33,0.4690431519699812,7.911392405063291,16.867088607594933,4.050632911392405,100.0,553.0,vegan,-0.011521328785217718,-0.1118858221974665,-0.07003496533094888,-0.8984727323634865,-0.18135788998416646,34,30,33,14
"Navy beans, raw",Legume,22.3,1.65,0.89,1.0,1.52,0.87,1.11,0.34,0.25,0.61,1.39,3.42,0.86,0.26,0.61,337,3.54,0.4661016949152542,7.399103139013452,15.874439461883409,6.816143497757847,151.5151515151515,510.60606060606057,vegan,-0.372578947413602,-0.4502077555182333,0.03971539195663043,0.37349796221417514,-0.19761574512154678,35,41,44,31
"Kidney beans, raw",Legume,23.6,1.74,0.93,1.05,1.59,0.92,1.17,0.35,0.27,0.63,1.45,3.7,0.91,0.27,0.65,333,3.72,0.467741935483871,7.372881355932202,15.76271186440678,6.73728813559322,143.67816091954023,478.448275862069,vegan,-0.39105986275369586,-0.4882875714802795,0.12296616826298822,0.3372291768845428,-0.2033182277862692,36,44,48,24
"Black beans, raw",Legume,21.6,1.6,0.86,0.97,1.47,0.85,1.08,0.33,0.25,0.6,1.35,3.3,0.84,0.25,0.6,341,3.43,0.4664723032069972,7.4074074074074066,15.879629629629626,6.805555555555555,156.25,532.8125,vegan,-0.3667261615571038,-0.4484388046318647,-0.017773123911707156,0.3686281373566625,-0.20706056995964972,37,40,43,32
"Pinto beans, raw",Legume,21.4,1.58,0.85,0.96,1.46,0.84,1.07,0.33,0.24,0.59,1.33,3.28,0.83,0.25,0.59,347,3.39,0.4660766961651917,7.383177570093459,15.841121495327103,6.822429906542056,158.22784810126583,549.0506329113924,vegan,-0.38380316851409874,-0.4615634282736519,-0.05981075745522473,0.37638933706085714,-0.22441587540596888,38,43,45,33
"Chickpeas, raw",Legume,19.3,1.42,0.77,0.86,1.35,0.77,1.03,0.26,0.19,0.53,1.65,3.61,0.82,0.28,0.57,364,3.05,0.4655737704918032,7.357512953367876,15.803108808290151,6.994818652849741,176.05633802816902,640.8450704225352,vegan,-0.4018913972005999,-0.47451918995905634,-0.2974502044583621,0.45567792646616373,-0.27052470829175196,39,46,46,38
"Oats, raw",Grain,16.9,1.28,0.69,0.91,0.7,0.67,0.95,0.31,0.23,0.34,1.23,3.71,0.84,0.41,0.57,389,2.88,0.4444444444444445,7.573964497041421,17.041420118343193,4.142011834319527,195.3125,759.765625,vegan,-0.24933797848500144,-0.052468883181410846,-0.605314336461619,-0.8564438525470738,-0.3623818573637382,40,38,29,41
"Sunflower seeds, dried",Seed,21.0,1.65,0.88,1.05,0.72,0.82,1.1,0.49,0.3,0.51,1.93,3.81,1.12,0.41,0.65,584,3.58,0.4608938547486033,7.857142857142857,17.047619047619047,3.428571428571429,151.5151515151515,884.8484848484848,vegan,-0.049756001814483766,-0.05035611882132838,-0.929131579095266,-1.1845840856429892,-0.39600535909662715,41,31,28,29
Nutritional yeast,Other,50.0,3.45,1.8,2.1,2.7,2.1,2.0,1.0,0.4,1.0,2.4,6.5,2.1,0.5,1.5,332,7.35,0.4693877551020408,6.9,14.7,5.4,72.46376811594203,240.5797101449276,vegan,-0.724343082960835,-0.8504887924074417,0.73876551241812,-0.2778439770810302,-0.39628292536472487,42,51,51,11
"Wheat germ, raw",Grain,23.2,1.67,0.87,1.12,1.17,1.03,1.01,0.46,0.31,0.59,1.86,4.0,1.26,0.46,0.7,360,3.66,0.4562841530054644,7.198275862068966,15.775862068965518,5.043103448275862,149.7005988023952,538.9221556886228,vegan,-0.5141205005449233,-0.4838056226979768,-0.03358993415195337,-0.4419952036310401,-0.39961687326751016,43,47,47,25
"Brazil nuts, raw",Nut,14.3,1.17,0.59,0.76,0.43,0.5,0.72,0.31,0.14,0.33,2.15,2.78,0.77,0.31,0.43,656,2.52,0.4642857142857143,8.18181818181818,17.62237762237762,3.006993006993006,213.67521367521368,1401.7094017094018,vegan,0.17907272313339567,0.14553729734196832,-2.2671924223294027,-1.3784851324723941,-0.5521978407478892,44,13,19,48
"Sesame seeds, dried",Seed,17.7,1.36,0.73,0.92,0.55,0.69,0.94,0.59,0.37,0.45,2.63,3.55,0.93,0.38,0.72,573,3.01,0.451827242524917,7.68361581920904,17.005649717514125,3.107344632768362,183.8235294117647,1053.3088235294117,vegan,-0.1720565519843675,-0.06466041250114322,-1.3652453874209307,-1.3323293420122921,-0.5578862027050628,45,36,32,39
"Pistachios, raw",Nut,20.6,1.54,0.83,0.97,0.72,0.73,1.02,0.24,0.2,0.49,1.82,3.5,0.97,0.24,0.57,560,3.34,0.4610778443113772,7.475728155339806,16.213592233009706,3.4951456310679605,162.33766233766232,909.090909090909,vegan,-0.3185742126755857,-0.3346152304913795,-0.9918908970581419,-1.1539639046869081,-0.5825562578077438,46,39,39,34
"Brown rice, raw",Grain,7.9,0.62,0.33,0.43,0.34,0.32,0.42,0.18,0.1,0.19,0.6,1.56,0.41,0.17,0.3,370,1.38,0.4492753623188406,7.848101265822785,17.468354430379744,4.30379746835443,403.2258064516129,1491.9354838709678,vegan,-0.05612844731936113,0.0930419878783156,-2.5007716767099466,-0.7820320653311309,-0.6166500270998246,47,32,21,57
"Spelt, raw",Grain,14.6,1.04,0.55,0.73,0.52,0.55,0.78,0.29,0.2,0.33,0.87,3.06,0.75,0.36,0.49,338,2.3200000000000003,0.4482758620689654,7.123287671232877,15.890410958904113,3.5616438356164384,240.3846153846154,812.5,vegan,-0.5669716129980491,-0.44476423322899755,-0.7418342395498085,-1.123378678275297,-0.6548533531577253,48,48,42,50
"Walnuts, English, raw",Nut,15.2,1.17,0.63,0.75,0.42,0.6,0.71,0.24,0.17,0.39,2.28,2.78,0.82,0.22,0.41,654,2.55,0.4588235294117647,7.697368421052632,16.776315789473685,2.763157894736842,213.67521367521368,1397.4358974358977,vegan,-0.16236382172304556,-0.142823677181205,-2.256129081021845,-1.4906348087846115,-0.7754724855065802,49,35,35,46
"Cashews, raw",Nut,18.2,1.27,0.69,0.83,0.63,0.64,0.95,0.26,0.18,0.43,1.79,3.3,0.86,0.26,0.54,553,2.79,0.4551971326164875,6.978021978021978,15.32967032967033,3.4615384615384617,196.8503937007874,1088.5826771653544,vegan,-0.6693537801348984,-0.6358799507949388,-1.4565631110106363,-1.1694212075733912,-0.89343730309083,50,49,49,43
"Almonds, raw",Nut,21.2,1.47,0.8,0.95,0.58,0.69,1.12,0.18,0.21,0.52,2.44,4.96,1.26,0.27,0.63,579,3.22,0.4565217391304348,6.933962264150943,15.188679245283016,2.735849056603773,170.06802721088437,984.6938775510204,vegan,-0.7004067348266648,-0.6839335621408854,-1.1876135149398148,-1.5031952531305797,-0.9141480754234372,51,50,50,35
"Peanuts, raw",Legume,25.8,1.67,0.91,1.08,0.93,0.88,1.34,0.32,0.25,0.65,3.09,5.24,1.55,0.33,1.05,567,3.66,0.4562841530054644,6.472868217054264,14.186046511627906,3.604651162790698,149.7005988023952,848.8023952095808,vegan,-1.025382348491493,-1.0256581748364786,-0.8358146740554062,-1.1035978609146713,-0.9992700970539988,52,53,53,25
"Peanut butter, smooth",Legume,25.1,1.62,0.88,1.05,0.9,0.85,1.3,0.31,0.24,0.63,3.0,5.09,1.51,0.32,1.02,588,3.55,0.4563380281690141,6.454183266932271,14.143426294820715,3.585657370517928,154.320987654321,907.4074074074074,vegan,-1.0385513606928547,-1.040184308477004,-0.9875326110884979,-1.1123338777894467,-1.0398232252825095,53,54,54,30
"Flaxseed, raw",Seed,18.3,1.22,0.66,0.78,0.62,0.62,0.82,0.37,0.22,0.36,2.0,3.4,0.88,0.34,0.46,534,2.66,0.4586466165413533,6.666666666666667,14.53551912568306,3.3879781420765025,204.9180327868852,1094.262295081967,vegan,-0.8887946599567119,-0.9065483655543156,-1.4712666300635104,-1.2032545876011829,-1.0568964695241432,54,52,52,45
"Buckwheat, raw",Grain,13.3,0.83,0.44,0.58,0.67,0.5,0.54,0.22,0.19,0.3,0.98,2.45,0.69,0.3,0.38,343,1.85,0.4486486486486486,6.240601503759398,13.909774436090224,5.037593984962406,301.20481927710847,1033.1325301204822,vegan,-1.1890821797128788,-1.1198192418381043,-1.3130125578696954,-0.44452922968471614,-1.0848695783713243,55,55,55,54
"Quinoa, raw",Grain,14.1,0.84,0.47,0.55,0.73,0.42,0.59,0.31,0.17,0.33,1.09,2.38,0.68,0.27,0.38,368,1.86,0.4516129032258064,5.957446808510639,13.19148936170213,5.177304964539007,297.61904761904765,1095.2380952380954,vegan,-1.3886474775733586,-1.364630408091858,-1.473792802844511,-0.3802704730528252,-1.248415724579134,56,56,56,53
"Amaranth, raw",Grain,13.6,0.79,0.43,0.5,0.61,0.42,0.55,0.27,0.18,0.29,1.03,2.55,0.69,0.23,0.38,371,1.72,0.4593023255813954,5.8088235294117645,12.647058823529411,4.485294117647059,316.45569620253167,1174.0506329113923,vegan,-1.4933960459709652,-1.5501872012742381,-1.6778244236856186,-0.6985543812454346,-1.4252532606308845,57,57,57,55
Collagen peptides (hydrolyzed),animal_supplement,90.0,2.7,1.4,2.2,3.5,1.8,2.0,0.8,0.1,0.5,7.5,10.0,23.0,0.1,0.5,370,6.3,0.4285714285714286,3.0000000000000004,6.999999999999999,3.888888888888889,92.59259259259258,342.5925925925925,animal,-3.4730337270347764,-3.4748590422831915,0.47467233172711765,-0.9728653807452694,-2.3089235921510753,58,58,58,12
